sequence number,date,the red ball,the red ball,the red ball,the red ball,the red ball,the red ball,the blue ball
,,#1,#2,#3,#4,#5,#6,
2022150,2022/12/29,1,7,11,12,22,28,5
2022149,2022/12/27,2,22,26,29,32,33,14
2022148,2022/12/25,2,15,16,17,21,31,14
2022147,2022/12/22,2,3,7,13,20,30,10
2022146,2022/12/20,6,7,13,18,26,31,6
2022145,2022/12/18,3,21,25,30,31,33,11
2022144,2022/12/15,7,20,22,23,31,32,5
2022143,2022/12/13,7,8,13,29,30,33,3
2022142,2022/12/11,1,3,13,16,21,27,3
2022141,2022/12/8,5,12,13,17,20,27,14
2022140,2022/12/6,8,9,18,19,20,27,15
2022139,2022/12/4,6,7,9,16,17,19,14
2022138,2022/12/1,2,14,19,21,25,28,11
2022137,2022/11/29,8,21,23,27,28,33,1
2022136,2022/11/27,8,10,14,15,18,22,8
2022135,2022/11/24,9,11,13,24,28,32,6
2022134,2022/11/22,1,5,14,17,24,31,14
2022133,2022/11/20,5,8,16,17,21,25,12
2022132,2022/11/17,1,3,18,26,32,33,4
2022131,2022/11/15,3,5,10,13,19,29,6
2022130,2022/11/13,2,8,15,17,26,28,12
2022129,2022/11/10,10,12,14,22,24,27,7
2022128,2022/11/8,3,12,18,24,27,29,1
2022127,2022/11/6,3,4,9,10,29,33,13
2022126,2022/11/3,1,13,15,17,26,33,13
2022125,2022/11/1,2,3,7,12,20,31,16
2022124,2022/10/30,5,10,13,18,24,26,1
2022123,2022/10/27,10,13,16,20,21,25,5
2022122,2022/10/25,6,8,17,19,24,28,5
2022121,2022/10/23,12,17,22,27,30,31,2
2022120,2022/10/20,2,15,19,26,27,29,2
2022119,2022/10/18,2,5,15,18,26,27,4
2022118,2022/10/16,2,6,7,11,14,33,8
2022117,2022/10/13,4,13,17,18,28,29,6
2022116,2022/10/11,8,14,26,27,30,33,1
2022115,2022/10/9,6,7,18,20,27,29,9
2022114,2022/10/6,1,5,15,19,26,29,13
2022113,2022/9/29,13,14,20,24,27,29,2
2022112,2022/9/27,3,5,8,17,25,31,1
2022111,2022/9/25,2,10,11,13,28,31,1
2022110,2022/9/22,9,13,15,18,20,28,15
2022109,2022/9/20,4,11,13,19,22,33,11
2022108,2022/9/18,1,7,13,17,18,31,15
2022107,2022/9/15,3,9,11,15,19,28,16
2022106,2022/9/13,17,20,22,23,24,31,1
2022105,2022/9/11,6,12,13,15,21,23,15
2022104,2022/9/8,1,8,19,25,26,31,1
2022103,2022/9/6,6,9,12,14,20,28,10
2022102,2022/9/4,9,10,12,18,29,32,14
2022101,2022/9/1,4,16,18,19,27,28,4
2022100,2022/8/30,2,6,7,15,20,21,15
2022099,2022/8/28,1,11,23,24,26,32,15
2022098,2022/8/25,2,3,4,6,21,33,5
2022097,2022/8/23,4,5,10,13,30,31,14
2022096,2022/8/21,3,16,17,19,25,33,7
2022095,2022/8/18,4,13,14,18,20,28,8
2022094,2022/8/16,6,11,13,16,19,31,2
2022093,2022/8/14,21,22,24,28,29,32,14
2022092,2022/8/11,7,10,16,20,21,27,11
2022091,2022/8/9,8,18,20,22,24,28,10
2022090,2022/8/7,1,4,25,27,29,30,7
2022089,2022/8/4,2,7,15,29,31,33,15
2022088,2022/8/2,3,9,15,17,20,22,6
2022087,2022/7/31,5,6,9,13,23,25,8
2022086,2022/7/28,1,4,8,21,23,24,11
2022085,2022/7/26,7,9,14,31,32,33,13
2022084,2022/7/24,3,18,23,24,25,32,9
2022083,2022/7/21,8,12,13,14,19,20,5
2022082,2022/7/19,4,10,11,23,30,32,14
2022081,2022/7/17,4,8,11,21,27,30,1
2022080,2022/7/14,5,12,15,17,18,27,4
2022079,2022/7/12,1,9,15,17,22,23,16
2022078,2022/7/10,1,4,5,15,17,31,9
2022077,2022/7/7,3,17,18,19,20,27,16
2022076,2022/7/5,8,9,10,13,24,29,2
2022075,2022/7/3,1,2,4,25,26,30,10
2022074,2022/6/30,5,7,15,19,29,33,15
2022073,2022/6/28,6,10,14,15,26,29,12
2022072,2022/6/26,5,14,15,16,18,32,12
2022071,2022/6/23,4,7,15,18,29,33,1
2022070,2022/6/21,4,6,9,27,28,33,2
2022069,2022/6/19,6,7,13,19,26,29,8
2022068,2022/6/16,7,12,15,24,26,29,6
2022067,2022/6/14,1,5,13,21,26,29,15
2022066,2022/6/12,6,11,14,20,27,30,9
2022065,2022/6/9,9,14,18,23,28,31,2
2022064,2022/6/7,4,6,12,13,17,31,16
2022063,2022/6/5,6,8,9,17,22,31,11
2022062,2022/6/2,16,18,20,21,23,33,5
2022061,2022/5/31,1,3,16,18,29,33,6
2022060,2022/5/29,16,18,19,24,28,32,1
2022059,2022/5/26,6,9,18,19,29,33,6
2022058,2022/5/24,6,13,14,23,31,33,1
2022057,2022/5/22,12,15,20,26,30,33,16
2022056,2022/5/19,1,6,11,14,17,26,15
2022055,2022/5/17,2,4,9,26,28,33,3
2022054,2022/5/15,8,12,21,27,28,33,11
2022053,2022/5/12,10,14,18,23,27,33,15
2022052,2022/5/10,7,24,27,29,31,32,15
2022051,2022/5/8,2,5,11,17,21,33,1
2022050,2022/5/5,3,5,8,14,27,33,8
2022049,2022/5/3,2,4,7,18,25,26,10
2022048,2022/5/1,5,7,17,20,26,31,14
2022047,2022/4/28,3,7,8,14,27,30,9
2022046,2022/4/26,2,11,24,25,27,30,14
2022045,2022/4/24,3,12,17,18,19,28,4
2022044,2022/4/21,1,7,8,21,23,29,6
2022043,2022/4/19,2,17,20,23,25,27,8
2022042,2022/4/17,5,10,11,21,22,30,13
2022041,2022/4/14,5,7,21,22,24,29,14
2022040,2022/4/12,3,12,14,16,31,33,12
2022039,2022/4/10,2,6,7,10,15,20,5
2022038,2022/4/7,9,12,13,16,24,32,4
2022037,2022/4/5,1,10,13,20,22,32,14
2022036,2022/4/3,2,3,14,16,26,31,2
2022035,2022/3/31,8,12,13,19,23,25,15
2022034,2022/3/29,14,17,26,31,32,33,10
2022033,2022/3/27,5,12,19,22,25,26,5
2022032,2022/3/24,4,10,11,14,23,32,7
2022031,2022/3/22,1,10,11,22,26,32,7
2022030,2022/3/20,12,23,24,26,27,30,5
2022029,2022/3/17,3,8,10,13,26,32,8
2022028,2022/3/15,5,11,20,22,23,29,9
2022027,2022/3/13,14,15,18,19,26,32,9
2022026,2022/3/10,3,4,10,15,22,24,2
2022025,2022/3/8,6,19,24,25,28,32,4
2022024,2022/3/6,7,9,10,14,19,24,15
2022023,2022/3/3,7,12,17,19,24,25,2
2022022,2022/3/1,1,7,11,15,17,19,6
2022021,2022/2/27,3,7,22,24,26,31,14
2022020,2022/2/24,9,11,14,22,30,32,1
2022019,2022/2/22,5,6,14,20,21,25,8
2022018,2022/2/20,7,11,16,17,30,32,16
2022017,2022/2/17,6,9,24,29,30,32,7
2022016,2022/2/15,5,10,19,20,29,31,14
2022015,2022/2/13,6,14,16,27,28,31,7
2022014,2022/2/10,6,7,13,14,15,27,4
2022013,2022/2/8,2,3,4,7,10,18,15
2022012,2022/1/27,4,7,8,29,30,31,1
2022011,2022/1/25,6,15,23,24,25,33,15
2022010,2022/1/23,12,18,19,20,21,32,15
2022009,2022/1/20,4,15,17,19,25,28,16
